# filename:lineno [module]function flags format
drivers/base/component.c:145 [component]try_to_bring_up_master =_ "trying to bring up master\012"
drivers/base/component.c:112 [component]find_components =_ "found component %s, duplicate %u\012"
drivers/base/component.c:101 [component]find_components =_ "Looking for component %zu\012"
drivers/base/core.c:2697 [core]device_move =_ "device: '%s': %s: moving to '%s'\012"
drivers/base/core.c:2632 [core]device_rename =_ "renaming to %s\012"
drivers/base/core.c:2396 [core]device_create_release =_ "device: '%s': %s\012"
drivers/base/core.c:2019 [core]device_unregister =_ "device: '%s': %s\012"
drivers/base/core.c:1774 [core]device_add =_ "device: '%s': %s\012"
drivers/base/core.c:1272 [core]devices_kset_move_last =_ "devices_kset: Moving %s to end of list\012"
drivers/base/core.c:1258 [core]devices_kset_move_after =_ "devices_kset: Moving %s after %s\012"
drivers/base/core.c:1242 [core]devices_kset_move_before =_ "devices_kset: Moving %s before %s\012"
drivers/base/core.c:1059 [core]devm_attr_groups_remove =_ "%s: removing groups %p\012"
drivers/base/core.c:1050 [core]devm_attr_group_remove =_ "%s: removing group %p\012"
drivers/base/core.c:926 [core]dev_uevent =_ "device: '%s': %s: dev_type uevent() returned %d\012"
drivers/base/core.c:917 [core]dev_uevent =_ "device: '%s': %s: class uevent() returned %d\012"
drivers/base/core.c:908 [core]dev_uevent =_ "device: '%s': %s: bus uevent() returned %d\012"
drivers/base/bus.c:933 [bus]bus_unregister =_ "bus: '%s': unregistering\012"
drivers/base/bus.c:904 [bus]bus_register =_ "bus: '%s': registered\012"
drivers/base/bus.c:726 [bus]bus_remove_driver =_ "bus: '%s': remove driver %s\012"
drivers/base/bus.c:666 [bus]bus_add_driver =_ "bus: '%s': probing driver %s asynchronously\012"
drivers/base/bus.c:646 [bus]bus_add_driver =_ "bus: '%s': add driver %s\012"
drivers/base/bus.c:629 [bus]driver_attach_async =_ "bus: '%s': driver %s async attach completed: %d\012"
drivers/base/bus.c:564 [bus]bus_remove_device =_ "bus: '%s': remove device %s\012"
drivers/base/bus.c:483 [bus]bus_add_device =_ "bus: '%s': add device %s\012"
drivers/base/bus.c:88 [bus]driver_release =_ "driver: '%s': %s\012"
drivers/base/dd.c:783 [dd]__driver_attach =_ "Bus failed to match device: %d"
drivers/base/dd.c:780 [dd]__driver_attach =_ "Device match requests probe deferral\012"
drivers/base/dd.c:720 [dd]__device_attach =_ "scheduling asynchronous probe\012"
drivers/base/dd.c:671 [dd]__device_attach_async_helper =_ "async probe completed\012"
drivers/base/dd.c:641 [dd]__device_attach_driver =_ "Bus failed to match device: %d"
drivers/base/dd.c:638 [dd]__device_attach_driver =_ "Device match requests probe deferral\012"
drivers/base/dd.c:550 [dd]driver_probe_device =_ "bus: '%s': %s: matched device %s with driver %s\012"
drivers/base/dd.c:508 [dd]driver_probe_done =_ "%s: probe_count = %d\012"
drivers/base/dd.c:480 [dd]really_probe =_ "%s: probe of %s rejects match %d\012"
drivers/base/dd.c:471 [dd]really_probe =_ "Driver %s requests probe deferral\012"
drivers/base/dd.c:449 [dd]really_probe =_ "bus: '%s': %s: bound device %s to driver %s\012"
drivers/base/dd.c:377 [dd]really_probe =_ "bus: '%s': %s: probing driver %s with device %s\012"
drivers/base/dd.c:366 [dd]really_probe =_ "Driver %s force probe deferral\012"
drivers/base/dd.c:271 [dd]driver_bound =_ "driver: '%s': %s: bound to device '%s'\012"
drivers/base/dd.c:158 [dd]driver_deferred_probe_del =_ "Removed from deferred list\012"
drivers/base/dd.c:148 [dd]driver_deferred_probe_add =_ "Added to deferred list\012"
drivers/base/dd.c:130 [dd]deferred_probe_work_func =_ "Retrying from deferred list\012"
drivers/base/syscore.c:54 [syscore]syscore_suspend =_ "Checking wakeup interrupts\012"
drivers/base/class.c:203 [class]class_create_release =_ "%s called for %s\012"
drivers/base/class.c:196 [class]class_unregister =_ "device class '%s': unregistering\012"
drivers/base/class.c:153 [class]__class_register =_ "device class '%s': registering\012"
drivers/base/class.c:61 [class]class_release =_ "class '%s' does not have a release() function, be careful\012"
drivers/base/class.c:55 [class]class_release =_ "class '%s': release.\012"
drivers/base/platform.c:832 [platform]platform_unregister_drivers =_ "unregistering platform driver %ps\012"
drivers/base/platform.c:811 [platform]__platform_register_drivers =_ "unregistering platform driver %ps\012"
drivers/base/platform.c:797 [platform]__platform_register_drivers =_ "registering platform driver %ps\012"
drivers/base/platform.c:416 [platform]platform_device_add =_ "Registering platform device '%s'. Parent at %s\012"
drivers/base/power/main.c:411 [main]pm_dev_dbg =_ "%s%s%s\012"
drivers/base/power/main.c:192 [main]device_pm_move_last =_ "PM: Moving %s:%s to end of list\012"
drivers/base/power/main.c:180 [main]device_pm_move_after =_ "PM: Moving %s:%s after %s:%s\012"
drivers/base/power/main.c:166 [main]device_pm_move_before =_ "PM: Moving %s:%s before %s:%s\012"
drivers/base/power/main.c:146 [main]device_pm_remove =_ "PM: Removing info for %s:%s\012"
drivers/base/power/main.c:128 [main]device_pm_add =_ "PM: Adding info for %s:%s\012"
drivers/base/power/wakeup.c:829 [wakeup]pm_print_active_wakeup_sources =_ "last active wakeup source: %s\012"
drivers/base/power/wakeup.c:817 [wakeup]pm_print_active_wakeup_sources =_ "active wakeup source: %s\012"
drivers/base/power/clock_ops.c:531 [clock_ops]pm_clk_runtime_resume =_ "%s\012"
drivers/base/power/clock_ops.c:508 [clock_ops]pm_clk_runtime_suspend =_ "%s\012"
drivers/base/power/clock_ops.c:470 [clock_ops]pm_clk_notify =_ "%s() %ld\012"
drivers/base/power/clock_ops.c:430 [clock_ops]pm_clk_resume =_ "%s()\012"
drivers/base/power/clock_ops.c:399 [clock_ops]pm_clk_suspend =_ "%s()\012"
drivers/base/power/clock_ops.c:71 [clock_ops]pm_clk_acquire =_ "Clock %pC con_id %s managed by runtime PM.\012"
drivers/base/firmware_class.c:1705 [firmware_class]device_uncache_fw_images =_ "%s\012"
drivers/base/firmware_class.c:1670 [firmware_class]device_cache_fw_images =_ "%s\012"
drivers/base/firmware_class.c:1552 [firmware_class]fw_cache_piggyback_on_request =_ "%s: fw: %s\012"
drivers/base/firmware_class.c:1494 [firmware_class]uncache_firmware =_ "%s: %s\012"
drivers/base/firmware_class.c:1461 [firmware_class]cache_firmware =_ "%s: %s ret=%d\012"
drivers/base/firmware_class.c:1455 [firmware_class]cache_firmware =_ "%s: %s\012"
drivers/base/firmware_class.c:1149 [firmware_class]_request_firmware_prepare =_ "using built-in %s\012"
drivers/base/firmware_class.c:472 [firmware_class]fw_name_devm_release =_ "%s: fw_name-%s devm-%p released\012"
drivers/base/firmware_class.c:462 [firmware_class]fw_set_page_data =_ "%s: fw-%s buf=%p data=%p size=%u\012"
drivers/base/firmware_class.c:429 [firmware_class]fw_get_filesystem_firmware =_ "direct-loading %s\012"
drivers/base/firmware_class.c:423 [firmware_class]fw_get_filesystem_firmware =_ "loading %s failed with error %d\012"
drivers/base/firmware_class.c:339 [firmware_class]__fw_free_buf =_ "%s: fw-%s buf=%p data=%p size=%u\012"
drivers/base/firmware_class.c:318 [firmware_class]fw_lookup_and_allocate_buf =_ "batched request - sharing the same struct firmware_buf and lookup for multiple requests\012"
drivers/base/firmware_class.c:288 [firmware_class]__allocate_fw_buf =_ "%s: fw-%s buf=%p\012"
drivers/base/regmap/regmap.c:1400 [regmap]_regmap_raw_write =_ "Writing window %d/%zu\012"
drivers/base/regmap/regcache.c:720 [regcache]regcache_sync_block_raw_flush =_ "Writing %zu bytes for %d registers from 0x%x-0x%x\012"
drivers/base/regmap/regcache.c:702 [regcache]regcache_sync_block_single =_ "Synced register %#x, value %#x\012"
drivers/base/regmap/regcache.c:427 [regcache]regcache_sync_region =_ "Syncing %s cache from %d-%d\012"
drivers/base/regmap/regcache.c:356 [regcache]regcache_sync =_ "Syncing %s cache\012"
drivers/base/regmap/regcache.c:326 [regcache]regcache_default_sync =_ "Synced register %#x, value %#x\012"
drivers/base/regmap/regcache.c:223 [regcache]regcache_exit =_ "Destroying %s cache\012"
drivers/base/regmap/regcache.c:195 [regcache]regcache_init =_ "Initializing %s cache\012"
drivers/dma-buf/dma-buf.c:1171 [dma_buf]dma_buf_init_debugfs =_ "dma_buf: debugfs: failed to create node bufinfo\012"
drivers/scsi/scsi_pm.c:284 [scsi_mod]scsi_runtime_idle =_ "scsi_runtime_idle\012"
drivers/scsi/scsi_pm.c:273 [scsi_mod]scsi_runtime_resume =_ "scsi_runtime_resume\012"
drivers/scsi/scsi_pm.c:246 [scsi_mod]scsi_runtime_suspend =_ "scsi_runtime_suspend\012"
drivers/scsi/scsi_pm.c:78 [scsi_mod]scsi_dev_type_resume =_ "scsi resume: %d\012"
drivers/scsi/scsi_pm.c:66 [scsi_mod]scsi_dev_type_suspend =_ "scsi suspend: %d\012"
drivers/scsi/virtio_scsi.c:548 [virtio_scsi]virtscsi_queuecommand =_ "cmd %p CDB: %#02x\012"
drivers/scsi/virtio_scsi.c:160 [virtio_scsi]virtscsi_complete_cmd =_ "cmd %p response %u status %#02x sense_len %u\012"
drivers/target/target_core_configfs.c:3321 [target_core_mod]target_core_exit_configfs =_ "TARGET_CORE[0]: Released ConfigFS Fabric Infrastructure\012"
drivers/target/target_core_configfs.c:3274 [target_core_mod]target_core_init_configfs =_ "TARGET_CORE[0]: Initialized ConfigFS Fabric Infrastructure: v5.0 on %s/%s on 4.14.0-rc\012"
drivers/target/target_core_configfs.c:3218 [target_core_mod]target_core_init_configfs =_ "TARGET_CORE[0]: Loading Generic Kernel Storage Engine: %s on %s/%s on 4.14.0-rc\012"
drivers/target/target_core_configfs.c:2916 [target_core_mod]target_core_setup_dev_stat_cit =_ "Setup generic %s\012"
drivers/target/target_core_configfs.c:2875 [target_core_mod]target_core_setup_dev_alua_tg_pt_gps_cit =_ "Setup generic %s\012"
drivers/target/target_core_configfs.c:2862 [target_core_mod]target_core_alua_drop_tg_pt_gp =_ "Target_Core_ConfigFS: Releasing ALUA Target Port Group: alua/tg_pt_gps/%s, ID: %hu\012"
drivers/target/target_core_configfs.c:2848 [target_core_mod]target_core_alua_create_tg_pt_gp =_ "Target_Core_ConfigFS: Allocated ALUA Target Port Group: alua/tg_pt_gps/%s\012"
drivers/target/target_core_configfs.c:2725 [target_core_mod]target_tg_pt_gp_tg_pt_gp_id_store =_ "Target_Core_ConfigFS: Set ALUA Target Port Group: core/alua/tg_pt_gps/%s to ID: %hu\012"
drivers/target/target_core_configfs.c:2424 [target_core_mod]target_core_alua_drop_lu_gp =_ "Target_Core_ConfigFS: Releasing ALUA Logical Unit Group: core/alua/lu_gps/%s, ID: %hu\012"
drivers/target/target_core_configfs.c:2409 [target_core_mod]target_core_alua_create_lu_gp =_ "Target_Core_ConfigFS: Allocated ALUA Logical Unit Group: core/alua/lu_gps/%s\012"
drivers/target/target_core_configfs.c:2319 [target_core_mod]target_lu_gp_lu_gp_id_store =_ "Target_Core_ConfigFS: Set ALUA Logical Unit Group: core/alua/lu_gps/%s to ID: %hu\012"
drivers/target/target_core_configfs.c:2271 [target_core_mod]target_core_setup_dev_cit =_ "Setup generic %s\012"
drivers/target/target_core_configfs.c:2069 [target_core_mod]target_dev_alua_lu_gp_store =_ "Target_Core_ConfigFS: %s %s/%s to ALUA LU Group: core/alua/lu_gps/%s, ID: %hu\012"
drivers/target/target_core_configfs.c:2044 [target_core_mod]target_dev_alua_lu_gp_store =_ "Target_Core_ConfigFS: Releasing %s/%s from ALUA LU Group: core/alua/lu_gps/%s, ID: %hu\012"
drivers/target/target_core_configfs.c:1939 [target_core_mod]target_dev_udev_path_store =_ "Target_Core_ConfigFS: %s/%s set udev_path: %s\012"
drivers/target/target_core_configfs.c:1898 [target_core_mod]target_dev_alias_store =_ "Target_Core_ConfigFS: %s/%s set alias: %s\012"
drivers/target/target_core_configfs.c:1831 [target_core_mod]target_core_setup_dev_pr_cit =_ "Setup generic %s\012"
drivers/target/target_core_configfs.c:1645 [target_core_mod]target_pr_res_aptpl_metadata_store =_ "Unable to process APTPL metadata while active fabric exports exist\012"
drivers/target/target_core_configfs.c:1371 [target_core_mod]target_core_setup_dev_wwn_cit =_ "Setup generic %s\012"
drivers/target/target_core_configfs.c:1274 [target_core_mod]target_wwn_vpd_unit_serial_store =_ "Target_Core_ConfigFS: Set emulated VPD Unit Serial: %s\012"
drivers/target/target_core_configfs.c:1199 [target_core_mod]target_core_setup_dev_attrib_cit =_ "Setup generic %s\012"
drivers/target/target_core_configfs.c:1084 [target_core_mod]block_size_store =_ "dev[%p]: SE Device block_size changed to %u\012"
drivers/target/target_core_configfs.c:1050 [target_core_mod]optimal_sectors_store =_ "dev[%p]: SE Device optimal_sectors changed to %u\012"
drivers/target/target_core_configfs.c:1020 [target_core_mod]queue_depth_store =_ "dev[%p]: SE Device TCQ Depth changed to: %u\012"
drivers/target/target_core_configfs.c:980 [target_core_mod]unmap_zeroes_data_store =_ "dev[%p]: SE Device Thin Provisioning LBPRZ bit: %d\012"
drivers/target/target_core_configfs.c:947 [target_core_mod]emulate_rest_reord_store =_ "dev[%p]: SE Device emulate_rest_reord: %d\012"
drivers/target/target_core_configfs.c:925 [target_core_mod]force_pr_aptpl_store =_ "dev[%p]: SE Device force_pr_aptpl: %d\012"
drivers/target/target_core_configfs.c:874 [target_core_mod]pi_prot_format_store =_ "dev[%p]: SE Device Protection Format complete\012"
drivers/target/target_core_configfs.c:836 [target_core_mod]pi_prot_type_store =_ "dev[%p]: SE Device Protection Type: %d\012"
drivers/target/target_core_configfs.c:773 [target_core_mod]emulate_tpws_store =_ "dev[%p]: SE Device Thin Provisioning WRITE_SAME: %d\012"
drivers/target/target_core_configfs.c:747 [target_core_mod]emulate_tpu_store =_ "dev[%p]: SE Device Thin Provisioning UNMAP bit: %d\012"
drivers/target/target_core_configfs.c:720 [target_core_mod]emulate_tas_store =_ "dev[%p]: SE Device TASK_ABORTED status bit: %s\012"
drivers/target/target_core_configfs.c:697 [target_core_mod]emulate_ua_intlck_ctrl_store =_ "dev[%p]: SE Device UA_INTRLCK_CTRL flag: %d\012"
drivers/target/target_core_configfs.c:669 [target_core_mod]emulate_write_cache_store =_ "dev[%p]: SE Device WRITE_CACHE_EMULATION flag: %d\012"
drivers/target/target_core_configfs.c:287 [target_core_mod]target_core_deregister_fabric =_ "Target_Core_ConfigFS: DEREGISTER -> Releasing ci %s\012"
drivers/target/target_core_configfs.c:283 [target_core_mod]target_core_deregister_fabric =_ "Target_Core_ConfigFS: DEREGISTER -> located fabric: %s\012"
drivers/target/target_core_configfs.c:280 [target_core_mod]target_core_deregister_fabric =_ "Target_Core_ConfigFS: DEREGISTER -> Looking up %s in tf list\012"
drivers/target/target_core_configfs.c:265 [target_core_mod]target_core_register_fabric =_ "Target_Core_ConfigFS: REGISTER -> Allocated Fabric: %s\012"
drivers/target/target_core_configfs.c:256 [target_core_mod]target_core_register_fabric =_ "Target_Core_ConfigFS: REGISTER tfc_wwn_cit -> %p\012"
drivers/target/target_core_configfs.c:250 [target_core_mod]target_core_register_fabric =_ "Target_Core_ConfigFS: REGISTER -> Located fabric: %s\012"
drivers/target/target_core_configfs.c:246 [target_core_mod]target_core_register_fabric =_ "target_core_get_fabric() failed for %s\012"
drivers/target/target_core_configfs.c:236 [target_core_mod]target_core_register_fabric =_ "request_module() failed for tcm_loop.ko: %d\012"
drivers/target/target_core_configfs.c:223 [target_core_mod]target_core_register_fabric =_ "request_module() failed for iscsi_target_mod.ko: %d\012"
drivers/target/target_core_configfs.c:200 [target_core_mod]target_core_register_fabric =_ "target_core_register_fabric() trying autoload for %s\012"
drivers/target/target_core_configfs.c:195 [target_core_mod]target_core_register_fabric =_ "Target_Core_ConfigFS: REGISTER -> group: %p name: %s\012"
drivers/target/target_core_device.c:754 [target_core_mod]scsi_dump_inquiry =_ "  Type:   %s "
drivers/target/target_core_device.c:751 [target_core_mod]scsi_dump_inquiry =_ "  Revision: %s\012"
drivers/target/target_core_device.c:743 [target_core_mod]scsi_dump_inquiry =_ "  Model: %s\012"
drivers/target/target_core_device.c:735 [target_core_mod]scsi_dump_inquiry =_ "  Vendor: %s\012"
drivers/target/target_core_device.c:716 [target_core_mod]core_dev_free_initiator_node_lun_acl =_ "%s_TPG[%hu] - Freeing ACL for %s InitiatorNode: %s Mapped LUN: %llu\012"
drivers/target/target_core_device.c:703 [target_core_mod]core_dev_del_initiator_node_lun_acl =_ "%s_TPG[%hu]_LUN[%llu] - Removed ACL for InitiatorNode: %s Mapped LUN: %llu\012"
drivers/target/target_core_device.c:671 [target_core_mod]core_dev_add_initiator_node_lun_acl =_ "%s_TPG[%hu]_LUN[%llu->%llu] - Added %s ACL for  InitiatorNode: %s\012"
drivers/target/target_core_device.c:610 [target_core_mod]core_dev_del_lun =_ "%s_TPG[%u]_LUN[%llu] - Deactivating %s Logical Unit from device object\012"
drivers/target/target_core_device.c:577 [target_core_mod]core_dev_add_lun =_ "%s_TPG[%u]_LUN[%llu] - Activated %s Logical Unit from CORE HBA: %u\012"
drivers/target/target_core_device.c:192 [target_core_mod]transport_lookup_tmr_lun =_ "TARGET_CORE[%s]: Detected NON_EXISTENT_LUN Access for 0x%08llx\012"
drivers/target/target_core_fabric_configfs.c:979 [target_core_mod]target_fabric_setup_discovery_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:978 [target_core_mod]target_fabric_setup_wwn_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:926 [target_core_mod]target_fabric_setup_wwn_fabric_stats_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:917 [target_core_mod]target_fabric_setup_tpg_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:827 [target_core_mod]target_fabric_setup_tpg_base_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:809 [target_core_mod]target_fabric_setup_tpg_param_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:808 [target_core_mod]target_fabric_setup_tpg_auth_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:807 [target_core_mod]target_fabric_setup_tpg_attrib_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:803 [target_core_mod]target_fabric_setup_tpg_lun_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:742 [target_core_mod]target_fabric_setup_tpg_port_stat_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:717 [target_core_mod]target_fabric_setup_tpg_port_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:513 [target_core_mod]target_fabric_setup_tpg_np_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:467 [target_core_mod]target_fabric_setup_tpg_np_base_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:447 [target_core_mod]target_fabric_setup_tpg_nacl_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:373 [target_core_mod]target_fabric_setup_tpg_nacl_stat_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:364 [target_core_mod]target_fabric_setup_tpg_nacl_base_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:267 [target_core_mod]target_fabric_setup_tpg_nacl_param_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:266 [target_core_mod]target_fabric_setup_tpg_nacl_auth_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:265 [target_core_mod]target_fabric_setup_tpg_nacl_attrib_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:261 [target_core_mod]target_fabric_setup_tpg_mappedlun_stat_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:235 [target_core_mod]target_fabric_setup_tpg_mappedlun_cit =_ "Setup generic %s\012"
drivers/target/target_core_fabric_configfs.c:206 [target_core_mod]target_fabric_mappedlun_write_protect_store =_ "%s_ConfigFS: Changed Initiator ACL: %s Mapped LUN: %llu Write Protect bit to %s\012"
drivers/target/target_core_fabric_lib.c:321 [target_core_mod]iscsi_parse_pr_out_transport_id =_ "LIO-Target Extracted add_len: %hu does not match calculated tid_len: %u, using tid_len instead\012"
drivers/target/target_core_fabric_lib.c:134 [target_core_mod]srp_get_pr_transport_id =_ "hex2bin failed for %s: %d\012"
drivers/target/target_core_fabric_lib.c:106 [target_core_mod]sbp_get_pr_transport_id =_ "%s: invalid hex string\012"
drivers/target/target_core_fabric_lib.c:86 [target_core_mod]fc_get_pr_transport_id =_ "%s: invalid hex string\012"
drivers/target/target_core_fabric_lib.c:58 [target_core_mod]sas_get_pr_transport_id =_ "%s: invalid hex string\012"
drivers/target/target_core_hba.c:179 [target_core_mod]core_delete_hba =_ "CORE_HBA[%d] - Detached HBA from Generic Target Core\012"
drivers/target/target_core_hba.c:155 [target_core_mod]core_alloc_hba =_ "CORE_HBA[%d] - Attached HBA to Generic Target Core\012"
drivers/target/target_core_hba.c:74 [target_core_mod]transport_backend_register =_ "TCM: Registered subsystem plugin: %s struct module: %p\012"
drivers/target/target_core_pr.c:3510 [target_core_mod]core_scsi3_emulate_pro_register_and_move =_ "SPC-3 PR Successfully moved reservation from %s Fabric Node: %s%s -> %s Fabric Node: %s %s\012"
drivers/target/target_core_pr.c:3504 [target_core_mod]core_scsi3_emulate_pro_register_and_move =_ "SPC-3 PR [%s] Service Action: REGISTER_AND_MOVE created new reservation holder TYPE: %s on object RTPI: %hu  PRGeneration: 0x%08x\012"
drivers/target/target_core_pr.c:3387 [target_core_mod]core_scsi3_emulate_pro_register_and_move =_ "SPC-3 PR REGISTER_AND_MOVE: Located %s node %s LUN ACL for dest_se_deve->mapped_lun: %llu\012"
drivers/target/target_core_pr.c:3362 [target_core_mod]core_scsi3_emulate_pro_register_and_move =_ "SPC-3 PR REGISTER_AND_MOVE: Found %s dest_node_acl: %s from TransportID\012"
drivers/target/target_core_pr.c:3302 [target_core_mod]core_scsi3_emulate_pro_register_and_move =_ "SPC-3 PR [%s] Extracted initiator %s identifier: %s %s\012"
drivers/target/target_core_pr.c:3276 [target_core_mod]core_scsi3_emulate_pro_register_and_move =_ "SPC-3 PR REGISTER_AND_MOVE: Extracted Protocol Identifier: 0x%02x\012"
drivers/target/target_core_pr.c:2797 [target_core_mod]__core_scsi3_complete_pro_preempt =_ "SPC-3 PR [%s] PREEMPT%s from Node: %s%s\012"
drivers/target/target_core_pr.c:2794 [target_core_mod]__core_scsi3_complete_pro_preempt =_ "SPC-3 PR [%s] Service Action: PREEMPT%s created new reservation holder TYPE: %s ALL_TG_PT: %d\012"
drivers/target/target_core_pr.c:2753 [target_core_mod]core_scsi3_emulate_pro_clear =_ "SPC-3 PR [%s] Service Action: CLEAR complete\012"
drivers/target/target_core_pr.c:2513 [target_core_mod]__core_scsi3_complete_pro_release =_ "SPC-3 PR [%s] RELEASE Node: %s%s\012"
drivers/target/target_core_pr.c:2509 [target_core_mod]__core_scsi3_complete_pro_release =_ "SPC-3 PR [%s] Service Action: %s RELEASE cleared reservation holder TYPE: %s ALL_TG_PT: %d\012"
drivers/target/target_core_pr.c:2420 [target_core_mod]core_scsi3_pro_reserve =_ "SPC-3 PR [%s] RESERVE Node: %s%s\012"
drivers/target/target_core_pr.c:2416 [target_core_mod]core_scsi3_pro_reserve =_ "SPC-3 PR [%s] Service Action: RESERVE created new reservation holder TYPE: %s ALL_TG_PT: %d\012"
drivers/target/target_core_pr.c:2172 [target_core_mod]core_scsi3_emulate_pro_register =_ "SPC-3 PR [%s] REGISTER%s: Changed Reservation Key for %s to: 0x%016Lx PRgeneration: 0x%08x\012"
drivers/target/target_core_pr.c:2047 [target_core_mod]core_scsi3_update_and_write_aptpl =_ "SPC-3 PR: Set APTPL Bit Activated\012"
drivers/target/target_core_pr.c:2020 [target_core_mod]core_scsi3_update_and_write_aptpl =_ "SPC-3 PR: Set APTPL Bit Deactivated\012"
drivers/target/target_core_pr.c:2000 [target_core_mod]__core_scsi3_write_aptpl_to_file =_ "Error writing APTPL metadata file: %s\012"
drivers/target/target_core_pr.c:1816 [target_core_mod]core_scsi3_decode_spec_i_port =_ "SPC-3 PR [%s] SPEC_I_PT: Successfully registered Transport ID for Node: %s%s Mapped LUN: %llu\012"
drivers/target/target_core_pr.c:1704 [target_core_mod]core_scsi3_decode_spec_i_port =_ "SPC-3 PR SPEC_I_PT: Located %s Node: %s dest_se_deve mapped_lun: %llu\012"
drivers/target/target_core_pr.c:1662 [target_core_mod]core_scsi3_decode_spec_i_port =_ "SPC-3 PR SPEC_I_PT: Got %s data_length: %u tpdl: %u tid_len: %d for %s + %s\012"
drivers/target/target_core_pr.c:1645 [target_core_mod]core_scsi3_decode_spec_i_port =_ "SPC-3 PR SPEC_I_PT: Located %s Node: %s Port RTPI: %hu\012"
drivers/target/target_core_pr.c:1349 [target_core_mod]__core_scsi3_free_registration =_ "SPC-3 PR [%s] SA Res Key: 0x%016Lx PRgeneration: 0x%08x\012"
drivers/target/target_core_pr.c:1346 [target_core_mod]__core_scsi3_free_registration =_ "SPC-3 PR [%s] for %s TCM Subsystem %s Object Target Port(s)\012"
drivers/target/target_core_pr.c:1342 [target_core_mod]__core_scsi3_free_registration =_ "SPC-3 PR [%s] Service Action: UNREGISTER Initiator Node: %s%s\012"
drivers/target/target_core_pr.c:1328 [target_core_mod]__core_scsi3_free_registration =_ "SPC-3 PR [%s] waiting for pr_res_holders\012"
drivers/target/target_core_pr.c:1049 [target_core_mod]__core_scsi3_dump_registration =_ "SPC-3 PR [%s] SA Res Key: 0x%016Lx PRgeneration: 0x%08x  APTPL: %d\012"
drivers/target/target_core_pr.c:1045 [target_core_mod]__core_scsi3_dump_registration =_ "SPC-3 PR [%s] for %s TCM Subsystem %s Object Target Port(s)\012"
drivers/target/target_core_pr.c:1041 [target_core_mod]__core_scsi3_dump_registration =_ "SPC-3 PR [%s] registration on Target Port: %s,0x%04x\012"
drivers/target/target_core_pr.c:1038 [target_core_mod]__core_scsi3_dump_registration =_ "SPC-3 PR [%s] Service Action: REGISTER%s Initiator Node: %s%s\012"
drivers/target/target_core_pr.c:918 [target_core_mod]core_scsi3_aptpl_reserve =_ "SPC-3 PR [%s] RESERVE Node: %s%s\012"
drivers/target/target_core_pr.c:915 [target_core_mod]core_scsi3_aptpl_reserve =_ "SPC-3 PR [%s] Service Action: APTPL RESERVE created new reservation holder TYPE: %s ALL_TG_PT: %d\012"
drivers/target/target_core_pr.c:892 [target_core_mod]core_scsi3_alloc_aptpl_registration =_ "SPC-3 PR APTPL Successfully added registration%s from metadata\012"
drivers/target/target_core_pr.c:561 [target_core_mod]core_scsi3_pr_seq_non_holder =_ "%s Conflict for %sregistered nexus %s CDB: 0x%2x for %s reservation\012"
drivers/target/target_core_pr.c:552 [target_core_mod]core_scsi3_pr_seq_non_holder =_ "Allowing READ CDB: 0x%02x for %s reservation\012"
drivers/target/target_core_pr.c:540 [target_core_mod]core_scsi3_pr_seq_non_holder =_ "Allowing implicit CDB: 0x%02x for %s reservation\012"
drivers/target/target_core_pr.c:526 [target_core_mod]core_scsi3_pr_seq_non_holder =_ "Allowing implicit CDB: 0x%02x for %s reservation on unregistered nexus\012"
drivers/target/target_core_pr.c:509 [target_core_mod]core_scsi3_pr_seq_non_holder =_ "%s Conflict for unregistered nexus %s CDB: 0x%02x to %s reservation\012"
drivers/target/target_core_pr.c:492 [target_core_mod]core_scsi3_pr_seq_non_holder =_ "Allowing explicit CDB: 0x%02x for %s reservation holder\012"
drivers/target/target_core_pr.c:300 [target_core_mod]target_scsi2_reservation_reserve =_ "SCSI-2 Reserved %s LUN: %llu -> MAPPED LUN: %llu for %s\012"
