NIS,Nº de ruedas,Ratio de pérdida,Año de consolidación,Último análisis
451894803,9,"0,601",2011,26/01/2014
422137903,9,"0,559",2008,09/01/2014
762379603,9,"0,495",2012,14/01/2014
713782202,7,"0,699",2014,19/01/2014
442116304,7,"0,416",2001,03/01/2014
764129403,9,"0,858",2013,26/01/2014
716778203,9,"0,520",2008,12/01/2014
411973903,9,"0,019",2000,05/01/2014
462889103,10,"0,581",2012,22/01/2014
825165502,6,"0,110",2008,02/01/2014
816274504,9,"0,778",2004,15/01/2014
464410404,10,"0,806",2014,06/01/2014
456228103,4,"0,566",2009,30/01/2014
775876303,10,"0,710",2008,15/01/2014
823543602,9,"0,584",2000,09/01/2014
447656803,8,"0,507",2007,17/01/2014
821788502,9,"0,510",2004,22/01/2014
823144902,5,"0,008",2007,13/01/2014
806823803,10,"0,435",1997,07/01/2014
823164602,1,"0,926",2013,18/01/2014
824579402,6,"0,372",2005,05/01/2014
412423803,6,"0,515",2013,19/01/2014
416081203,6,"0,920",2006,17/01/2014
802465302,7,"0,483",2012,21/01/2014
445882003,3,"0,973",1997,09/01/2014
712067503,10,"0,916",2013,13/01/2014
824277302,10,"0,573",2006,12/01/2014
873463002,8,"0,646",1998,29/01/2014
819524602,4,"0,367",2013,16/01/2014
443022403,5,"0,384",2010,15/01/2014
824789802,6,"0,916",2003,05/01/2014
821910902,4,"0,348",1997,14/01/2014
843874102,9,"0,218",2011,06/01/2014
472068903,5,"0,421",2014,28/01/2014
823534502,1,"0,602",2006,06/01/2014
481149903,4,"0,599",2000,09/01/2014
824688402,5,"0,104",2009,31/01/2014
807762102,10,"0,147",2007,04/01/2014
468616803,9,"0,003",2010,19/01/2014
403350305,5,"0,330",1995,09/01/2014
823517302,3,"0,684",2009,30/01/2014
823890402,8,"0,351",1997,11/01/2014
818902602,4,"0,470",2011,22/01/2014
823813602,3,"0,189",2006,25/01/2014
482381703,10,"0,622",2007,30/01/2014
710409203,4,"0,765",2009,17/01/2014
824471102,10,"0,167",2008,23/01/2014
733183003,3,"0,201",1999,06/01/2014
797920302,8,"0,091",2007,02/01/2014
823926002,4,"0,177",1999,23/01/2014
453753503,5,"0,087",2003,24/01/2014
824541002,2,"0,120",2000,04/01/2014
824731902,6,"0,179",2009,18/01/2014
431628603,3,"0,349",2000,20/01/2014
449081503,4,"0,713",2012,03/01/2014
837461802,3,"0,514",2004,21/01/2014
405010106,7,"0,778",2001,06/01/2014
422062703,6,"0,263",2001,15/01/2014
787480102,1,"0,839",1997,14/01/2014
480726303,1,"0,159",2011,08/01/2014
815367906,4,"0,312",2002,12/01/2014
823207702,9,"0,377",2002,12/01/2014
442865003,1,"0,830",2014,29/01/2014
590589103,8,"0,846",2010,02/01/2014
727909904,2,"0,320",2001,02/01/2014
823654002,4,"0,199",1995,03/01/2014
826157504,5,"0,359",2007,28/01/2014
795569002,7,"0,903",2006,29/01/2014
824141203,6,"0,486",1996,23/01/2014
824848402,10,"0,219",2009,16/01/2014
850934002,2,"0,618",2014,20/01/2014
824120102,7,"0,695",2010,07/01/2014
821555702,2,"0,408",2011,23/01/2014
781654403,1,"0,842",2005,01/01/2014
824292802,2,"0,770",2008,26/01/2014
874452302,10,"0,786",1995,19/01/2014
824341302,10,"0,244",2005,23/01/2014
795440903,10,"0,250",1995,06/01/2014
483896803,6,"0,094",2005,16/01/2014
824305302,5,"0,323",2014,10/01/2014
863360502,2,"0,328",2010,27/01/2014
819687702,7,"0,718",2011,03/01/2014
409945503,7,"0,234",2014,10/01/2014
440073705,9,"0,106",2003,26/01/2014
823519702,8,"0,709",2008,26/01/2014
409211204,1,"0,742",2014,30/01/2014
458768403,6,"0,347",2006,07/01/2014
824445702,8,"0,852",1995,31/01/2014
823110902,1,"0,357",2006,06/01/2014
412782903,6,"0,513",1997,28/01/2014
416998903,4,"0,171",2002,11/01/2014
438008603,5,"0,523",2001,26/01/2014
428814004,5,"0,328",2009,19/01/2014
821486702,5,"0,345",2008,20/01/2014
823736802,1,"0,741",2009,31/01/2014
421691104,6,"0,844",2008,05/01/2014
795053702,9,"0,705",2013,12/01/2014
483068603,1,"0,095",2006,02/01/2014
800595902,5,"0,180",2014,18/01/2014
824122202,2,"0,119",2014,04/01/2014
823274103,8,"0,542",2002,06/01/2014
824208702,9,"0,231",2006,02/01/2014
591757703,5,"0,245",2008,13/01/2014
419703803,8,"0,089",2008,06/01/2014
458979902,6,"0,915",1999,07/01/2014
785758803,2,"0,412",1995,26/01/2014
823575202,2,"0,901",2012,31/01/2014
720041405,9,"0,568",2014,17/01/2014
733930003,9,"0,173",2014,18/01/2014
823572902,1,"0,541",2012,10/01/2014
449188103,3,"0,783",2004,25/01/2014
823925702,10,"0,479",2005,12/01/2014
441215603,5,"0,102",2013,04/01/2014
762146403,1,"0,878",1995,12/01/2014
824599302,2,"0,630",2000,12/01/2014
824071902,3,"0,091",1996,19/01/2014
476930804,2,"0,199",2012,21/01/2014
784886003,3,"0,763",2007,11/01/2014
874610702,3,"0,076",2002,27/01/2014
407665903,10,"0,390",2007,16/01/2014
440551903,3,"0,504",1998,11/01/2014
824371102,6,"0,096",2013,23/01/2014
823786102,1,"0,387",1997,18/01/2014
834007502,9,"0,673",2013,18/01/2014
734860104,9,"0,009",2005,19/01/2014
430551305,7,"0,321",2014,19/01/2014
823224202,6,"0,202",2014,31/01/2014
876489502,5,"0,614",1997,13/01/2014
822274502,5,"0,929",2009,11/01/2014
823922302,4,"0,335",2003,14/01/2014
408032503,4,"0,532",2008,17/01/2014
821893402,1,"0,322",2001,01/01/2014
824425802,4,"0,555",2007,23/01/2014
497342703,1,"0,493",2008,03/01/2014
818858502,10,"0,481",1999,19/01/2014
486473205,6,"0,763",2002,24/01/2014
823166402,9,"0,169",1997,21/01/2014
430578302,10,"0,267",1997,16/01/2014
592833403,4,"0,646",2006,03/01/2014
730117405,1,"0,849",2006,29/01/2014
823113402,7,"0,191",2014,25/01/2014
823289402,7,"0,101",2011,10/01/2014
820982002,5,"0,735",2012,29/01/2014
824344304,2,"0,545",2009,21/01/2014
489987603,2,"0,727",2011,03/01/2014
412810203,7,"0,810",2013,04/01/2014
480658603,5,"0,704",1996,31/01/2014
870507902,7,"0,439",2010,24/01/2014
821683002,8,"0,754",2000,26/01/2014
471120903,7,"0,944",1999,25/01/2014
821736202,8,"0,488",1997,13/01/2014
423864903,10,"0,024",2011,19/01/2014
715257904,7,"0,258",2001,27/01/2014
740312903,10,"0,443",2014,30/01/2014
823964702,9,"0,393",2001,15/01/2014
821102403,5,"0,401",2011,10/01/2014
847950002,8,"0,513",2006,08/01/2014
431941403,3,"0,496",2009,24/01/2014
824686202,9,"0,647",1996,15/01/2014
824013402,9,"0,973",2011,17/01/2014
765612804,5,"0,801",1995,28/01/2014
766379211,3,"0,521",2011,18/01/2014
822510002,3,"0,029",2008,24/01/2014
700850105,4,"0,030",2002,10/01/2014
739577603,4,"0,311",1996,19/01/2014
451230403,7,"0,992",1996,29/01/2014
823573102,8,"0,700",2007,20/01/2014
785341604,4,"0,436",2004,01/01/2014
823548202,6,"0,817",1999,22/01/2014
444502903,10,"0,242",2007,20/01/2014
431869803,1,"0,399",2010,01/01/2014
824097903,8,"0,677",1999,25/01/2014
771573101,10,"0,136",2005,14/01/2014
476437406,6,"0,964",1996,10/01/2014
824465502,10,"0,965",2004,24/01/2014
824317102,2,"0,884",1997,02/01/2014
824354302,2,"0,215",1997,26/01/2014
821230802,9,"0,437",2007,20/01/2014
460986504,6,"0,292",2009,17/01/2014
743503402,6,"0,679",2011,17/01/2014
784585703,8,"0,969",2003,05/01/2014
876445005,5,"0,086",1995,24/01/2014
485555403,1,"0,542",2012,18/01/2014
760824709,5,"0,630",1999,10/01/2014
795087102,1,"0,144",2004,04/01/2014
429530603,6,"0,778",1998,16/01/2014
413095705,4,"0,014",1995,06/01/2014
888626101,4,"0,958",1995,16/01/2014
804795302,7,"0,276",2007,05/01/2014
824272402,7,"0,379",2010,10/01/2014
443337403,1,"0,143",2010,28/01/2014
752195003,6,"0,959",2008,18/01/2014
736517103,10,"0,731",1996,08/01/2014
487974603,9,"0,375",2001,11/01/2014
485978803,6,"0,122",2006,14/01/2014
434130303,3,"0,650",2009,17/01/2014
726407803,1,"0,062",2011,20/01/2014
792431203,10,"0,743",2011,06/01/2014
823106202,2,"0,487",2003,28/01/2014
815606802,2,"0,696",2011,02/01/2014
472158303,4,"0,129",2013,31/01/2014
797523802,9,"0,779",2002,10/01/2014
830641202,7,"0,518",2011,18/01/2014
808984802,3,"0,834",2014,28/01/2014
857942902,3,"0,707",2006,25/01/2014
409346305,5,"0,737",1997,26/01/2014
725365703,3,"0,830",2004,20/01/2014
819048002,4,"0,483",2010,03/01/2014
824765002,1,"0,135",2000,24/01/2014
452744003,3,"0,765",2014,09/01/2014
400382408,3,"0,441",2009,09/01/2014
433580202,9,"0,880",1996,25/01/2014
824430302,9,"0,046",2001,08/01/2014
818036402,8,"0,470",2001,04/01/2014
815938502,6,"0,861",2008,04/01/2014
415145503,1,"0,892",2007,19/01/2014
733483202,7,"0,801",2013,12/01/2014
817764402,1,"0,482",1996,03/01/2014
592975903,10,"0,024",2013,05/01/2014
432901203,3,"0,622",1996,20/01/2014
457487503,6,"0,546",2013,25/01/2014
408013703,1,"0,229",1996,19/01/2014
820500902,10,"0,618",2012,02/01/2014
477792903,4,"0,796",2011,02/01/2014
437347603,10,"0,148",1996,18/01/2014
819617702,7,"0,217",2006,01/01/2014
430755005,5,"0,839",1999,17/01/2014
824096602,4,"0,805",2013,10/01/2014
464204503,7,"0,037",2007,07/01/2014
421787607,7,"0,920",1996,04/01/2014
817647102,3,"0,902",2000,06/01/2014
426026703,2,"0,055",2013,15/01/2014
447934003,9,"0,129",2011,22/01/2014
734411803,6,"0,354",1995,10/01/2014
820092902,9,"0,158",2005,28/01/2014
822983702,1,"0,388",1998,05/01/2014
430399203,7,"0,839",1997,09/01/2014
451941504,4,"0,829",2010,15/01/2014
467232304,10,"0,221",1997,14/01/2014
823893202,6,"0,673",2004,22/01/2014
429066203,10,"0,389",2002,04/01/2014
449031404,8,"0,201",2001,24/01/2014
785443602,10,"0,864",2003,24/01/2014
416998703,5,"0,845",2010,31/01/2014
436115803,8,"0,189",2014,24/01/2014
804988302,1,"0,502",2008,28/01/2014
440406504,2,"0,954",2012,23/01/2014
473246503,9,"0,658",2001,21/01/2014
444873603,1,"0,722",2010,22/01/2014
824192803,7,"0,747",2002,19/01/2014
803995003,3,"0,907",2011,24/01/2014
875465805,1,"0,374",2001,09/01/2014
432786503,8,"0,151",2011,15/01/2014
817095302,7,"0,790",1995,30/01/2014
831775002,7,"0,598",2004,07/01/2014
823822502,7,"0,740",1995,07/01/2014
470431004,4,"0,937",2001,11/01/2014
802219502,2,"0,086",1995,04/01/2014
823723302,7,"0,816",2009,13/01/2014
821314702,7,"0,422",1998,09/01/2014
793989603,9,"0,183",2009,05/01/2014
856684002,10,"0,869",2013,25/01/2014
824431502,5,"0,135",2011,28/01/2014
822739803,3,"0,702",2005,19/01/2014
812942502,4,"0,148",2003,25/01/2014
484096902,4,"0,464",2002,31/01/2014
824093302,7,"0,164",2011,19/01/2014
820796102,9,"0,368",2014,08/01/2014
471449403,3,"0,391",2011,08/01/2014
755694403,8,"0,181",2003,01/01/2014
401891703,2,"0,403",2012,03/01/2014
810858502,3,"0,954",2012,29/01/2014
783208803,10,"0,979",2013,06/01/2014
401263503,6,"0,364",1998,24/01/2014
438642904,2,"0,148",2006,07/01/2014
824121002,10,"0,556",2003,01/01/2014
467075503,10,"0,039",2005,29/01/2014
817861202,9,"0,612",2001,28/01/2014
862628902,3,"0,268",2010,20/01/2014
782848203,6,"0,981",1998,08/01/2014
770197002,2,"0,686",2006,17/01/2014
466705803,2,"0,111",2008,07/01/2014
824275102,1,"0,423",1996,26/01/2014
405943203,9,"0,501",1997,21/01/2014
820070602,4,"0,221",2007,14/01/2014
899674201,9,"0,374",2005,19/01/2014
824080202,6,"0,758",2004,09/01/2014
438398103,6,"0,483",1998,18/01/2014
823158702,4,"0,040",2001,14/01/2014
819758404,9,"0,382",2007,20/01/2014
822339702,8,"0,795",2003,05/01/2014
855090402,4,"0,506",2006,31/01/2014
809113902,1,"0,938",1995,26/01/2014
804362703,6,"0,859",1996,24/01/2014
813523502,5,"0,067",1996,03/01/2014
470768203,8,"0,060",2011,03/01/2014
449261303,4,"0,640",2009,09/01/2014
821557702,4,"0,224",2007,04/01/2014
822367602,5,"0,935",1999,29/01/2014
454626703,4,"0,437",1999,30/01/2014
824103702,9,"0,684",2007,13/01/2014
448696205,6,"0,083",2012,13/01/2014
490488003,9,"0,951",2005,11/01/2014
824409502,10,"0,038",2009,19/01/2014
445724703,9,"0,083",2013,03/01/2014
430300203,9,"0,767",2008,30/01/2014
404713403,9,"0,629",2007,30/01/2014
824998402,1,"0,002",2001,06/01/2014
797933603,2,"0,724",2005,15/01/2014
822886602,10,"0,426",1997,18/01/2014
402992103,7,"0,156",2014,24/01/2014
795325602,5,"0,073",1997,06/01/2014
765605605,6,"0,037",2008,06/01/2014
823591102,10,"0,519",2012,02/01/2014
443279603,10,"0,823",1996,16/01/2014
453439704,7,"0,686",2012,31/01/2014
820428103,3,"0,920",2010,28/01/2014
590218003,8,"0,447",1999,09/01/2014
407226105,1,"0,612",2014,05/01/2014
823103002,5,"0,003",2005,12/01/2014
824355405,7,"0,556",2011,24/01/2014
412179604,5,"0,108",2005,11/01/2014
404743703,8,"0,174",1999,30/01/2014
792721702,10,"0,749",1996,06/01/2014
823714902,1,"0,973",2011,30/01/2014
818350102,4,"0,113",2001,10/01/2014
857942101,6,"0,311",2009,21/01/2014
495213103,2,"0,485",2009,27/01/2014
704559803,8,"0,735",1995,15/01/2014
822852302,5,"0,882",2007,27/01/2014
815866502,6,"0,190",2013,24/01/2014
823904302,2,"0,905",1996,22/01/2014
403348503,8,"0,770",2005,29/01/2014
453382703,6,"0,312",2004,09/01/2014
867328302,6,"0,214",2009,25/01/2014
450218603,3,"0,823",2000,15/01/2014
781152303,8,"0,365",1998,23/01/2014
439639903,4,"0,371",2006,16/01/2014
802886903,1,"0,200",2004,20/01/2014
593285903,3,"0,086",1997,26/01/2014
406534803,1,"0,751",2009,13/01/2014
482979303,1,"0,737",2013,19/01/2014
467352803,6,"0,443",2000,29/01/2014
824145502,7,"0,307",2004,10/01/2014
491136803,2,"0,901",2002,15/01/2014
453627503,8,"0,973",2014,09/01/2014
822399702,8,"0,383",2009,31/01/2014
836549303,9,"0,019",1996,09/01/2014
822564402,6,"0,265",2000,12/01/2014
783701004,10,"0,134",2009,01/01/2014
454973204,7,"0,082",1996,06/01/2014
824655202,6,"0,882",2007,03/01/2014
452109303,5,"0,873",1997,15/01/2014
780534702,3,"0,815",2006,27/01/2014
823534102,7,"0,688",2012,16/01/2014
820092102,5,"0,854",2014,09/01/2014
823149302,7,"0,137",1997,22/01/2014
874217402,7,"0,796",2007,31/01/2014
823755003,9,"0,892",1998,20/01/2014
404118103,4,"0,726",2001,30/01/2014
406191804,8,"0,721",2014,04/01/2014
823890502,1,"0,073",1999,05/01/2014
824297502,5,"0,275",2002,19/01/2014
819890102,9,"0,272",2013,10/01/2014
744925103,3,"0,227",1997,13/01/2014
471342403,9,"0,014",2001,24/01/2014
823700602,4,"0,348",1996,28/01/2014
744212102,1,"0,754",2009,24/01/2014
412319104,10,"0,880",2009,11/01/2014
466656303,6,"0,261",1998,06/01/2014
823786002,8,"0,288",1995,08/01/2014
484926603,7,"0,370",2004,27/01/2014
822530702,8,"0,415",2011,08/01/2014
824225202,5,"0,489",2010,02/01/2014
427137503,2,"0,275",1997,29/01/2014
421861804,1,"0,372",1999,06/01/2014
487317803,10,"0,113",1998,26/01/2014
824529802,4,"0,629",2012,07/01/2014
755565203,8,"0,279",2008,18/01/2014
420508507,10,"0,827",2011,06/01/2014
481857603,5,"0,042",2007,27/01/2014
823696104,6,"0,972",2007,06/01/2014
802208405,2,"0,088",2005,21/01/2014
487501903,5,"0,816",2009,14/01/2014
766648102,3,"0,738",2007,26/01/2014
837666802,8,"0,757",1996,31/01/2014
809177203,10,"0,192",2009,06/01/2014
474123703,3,"0,952",2008,08/01/2014
734412303,8,"0,626",2014,06/01/2014
823612701,4,"0,179",2010,21/01/2014
814746503,10,"0,698",2010,10/01/2014
809589602,10,"0,262",1997,04/01/2014
888663202,7,"0,607",1996,14/01/2014
815866603,2,"0,432",2007,23/01/2014
413040203,3,"0,483",2006,17/01/2014
410459303,3,"0,610",1998,17/01/2014
824543802,6,"0,791",2014,14/01/2014
452437803,4,"0,022",2010,30/01/2014
824983902,7,"0,476",2006,27/01/2014
405182703,8,"0,154",2013,30/01/2014
428929306,8,"0,774",1997,09/01/2014
863215602,7,"0,630",2010,19/01/2014
811486103,3,"0,260",2000,26/01/2014
714640303,10,"0,056",2013,29/01/2014
887706901,6,"0,184",2000,26/01/2014
744223005,8,"0,592",2005,17/01/2014
824722402,5,"0,863",1997,21/01/2014
812600802,6,"0,444",2010,03/01/2014
497339703,6,"0,580",1995,12/01/2014
780629604,8,"0,060",2002,20/01/2014
820093302,9,"0,866",2014,19/01/2014
421496103,7,"0,510",1997,27/01/2014
820451502,8,"0,552",2001,29/01/2014
875451402,9,"0,543",2005,11/01/2014
823668702,7,"0,914",2011,31/01/2014
405662303,1,"0,570",2005,17/01/2014
750532902,5,"0,491",1999,24/01/2014
823640702,3,"0,829",1997,01/01/2014
422832003,6,"0,988",2002,12/01/2014
464152604,5,"0,936",2001,10/01/2014
483396203,8,"0,618",2014,07/01/2014
433624803,8,"0,864",1999,18/01/2014
822967003,4,"0,127",1998,25/01/2014
424385903,5,"0,295",2001,03/01/2014
428133904,2,"0,645",2007,10/01/2014
861340602,4,"0,651",2001,30/01/2014
800320902,9,"0,672",2007,01/01/2014
823658102,8,"0,021",1997,07/01/2014
824364103,7,"0,682",2012,23/01/2014
823803502,8,"0,855",1999,18/01/2014
485589903,2,"0,022",2006,03/01/2014
824295802,9,"0,558",2012,13/01/2014
435851003,8,"0,877",2009,27/01/2014
824087602,7,"0,625",2009,19/01/2014
824081802,3,"0,888",2006,01/01/2014
710177204,8,"0,809",2005,25/01/2014
822431302,3,"0,754",2010,11/01/2014
823577402,3,"0,032",2013,14/01/2014
819095402,3,"0,358",1997,27/01/2014
883185002,3,"0,688",1999,10/01/2014
429529411,1,"0,280",2002,07/01/2014
823519402,5,"0,565",1999,01/01/2014
824134002,4,"0,203",1999,01/01/2014
824347102,6,"0,506",1996,13/01/2014
853694602,3,"0,220",1998,07/01/2014
470082403,7,"0,113",1995,02/01/2014
459393703,7,"0,662",1995,18/01/2014
756583803,6,"0,113",2011,31/01/2014
822916202,1,"0,490",2007,02/01/2014
824969602,5,"0,296",2013,07/01/2014
824204002,4,"0,917",2014,04/01/2014
823166903,8,"0,319",2002,12/01/2014
823396602,1,"0,466",2010,07/01/2014
801107503,5,"0,501",2007,28/01/2014
493890303,6,"0,186",1999,26/01/2014
811551202,8,"0,839",2002,09/01/2014
819833202,7,"0,716",1996,16/01/2014
440736603,6,"0,460",2000,16/01/2014
454000503,7,"0,693",2014,05/01/2014
814278602,3,"0,619",1995,17/01/2014
429510703,1,"0,650",1996,28/01/2014
434434203,8,"0,385",2005,31/01/2014
483931803,10,"0,238",1996,09/01/2014
823653202,7,"0,453",1997,18/01/2014
782054802,4,"0,863",1995,26/01/2014
814793302,4,"0,418",2001,17/01/2014
712729403,7,"0,751",2014,23/01/2014
876203005,4,"0,943",2002,11/01/2014
823785402,2,"0,137",2010,20/01/2014
824457502,8,"0,408",1995,10/01/2014
485441402,5,"0,019",2004,14/01/2014
845116602,10,"0,384",2010,23/01/2014
821251402,3,"0,412",2011,19/01/2014
871353602,4,"0,725",1995,06/01/2014
823829802,7,"0,202",2007,06/01/2014
422055103,6,"0,190",1995,22/01/2014
824226602,10,"0,530",1999,01/01/2014
860610802,3,"0,234",2008,31/01/2014
824528002,4,"0,998",2012,20/01/2014
824467602,8,"0,177",2007,05/01/2014
822456702,5,"0,960",2007,09/01/2014
418154803,5,"0,522",1999,27/01/2014
421835603,7,"0,604",2006,08/01/2014
785961203,6,"0,096",1998,28/01/2014
719068302,10,"0,793",2004,23/01/2014
492156103,3,"0,590",2003,09/01/2014
824297402,3,"0,799",1998,05/01/2014
825240602,7,"0,343",2005,15/01/2014
422123803,4,"0,602",2013,02/01/2014
823722902,9,"0,609",2002,22/01/2014
406339705,7,"0,452",1996,15/01/2014
821164502,4,"0,965",1999,28/01/2014
777130102,7,"0,016",1998,27/01/2014
864715002,4,"0,262",2004,20/01/2014
824939802,1,"0,593",1995,03/01/2014
455904903,8,"0,229",2003,22/01/2014
823282002,3,"0,467",2003,14/01/2014
817949702,7,"0,905",2012,19/01/2014
717520804,4,"0,859",2011,12/01/2014
739469704,5,"0,047",2007,02/01/2014
820550702,7,"0,864",1996,30/01/2014
472450205,4,"0,826",2000,29/01/2014
443953603,7,"0,872",2013,05/01/2014
744133004,10,"0,637",2000,05/01/2014
489138303,7,"0,490",2011,13/01/2014
817129903,10,"0,780",2002,07/01/2014
823621002,2,"0,783",2006,06/01/2014
465946904,5,"0,568",2006,23/01/2014
704369304,10,"0,742",2002,23/01/2014
754336103,9,"0,889",2001,26/01/2014
821697302,9,"0,122",2009,11/01/2014
458778604,6,"0,082",1997,13/01/2014
787062704,4,"0,684",2002,07/01/2014
439463603,5,"0,371",1999,31/01/2014
446145004,10,"0,086",2012,06/01/2014
824596902,3,"0,966",2005,01/01/2014
481530703,3,"0,306",2002,30/01/2014
824370102,4,"0,417",2008,09/01/2014
427299904,4,"0,345",2006,15/01/2014
824043902,3,"0,698",2008,27/01/2014
816350302,2,"0,165",2010,21/01/2014
823617202,7,"0,610",2006,06/01/2014
474757403,7,"0,428",2008,29/01/2014
824425402,1,"0,609",2005,31/01/2014
823288301,8,"0,331",2007,01/01/2014
403941503,7,"0,477",2001,03/01/2014
824810102,7,"0,141",1995,04/01/2014
823572402,7,"0,698",2003,28/01/2014
426840903,5,"0,891",2001,13/01/2014
462063403,7,"0,441",1995,20/01/2014
823829902,2,"0,958",1996,18/01/2014
710163003,9,"0,203",2012,02/01/2014
486707603,6,"0,079",2012,22/01/2014
765599103,9,"0,934",2010,03/01/2014
822456802,1,"0,176",2010,16/01/2014
804783302,10,"0,177",2002,30/01/2014
724440508,3,"0,572",2013,17/01/2014
490515003,10,"0,460",2000,31/01/2014
824304302,5,"0,443",1997,26/01/2014
823153902,4,"0,231",2002,16/01/2014
886279501,2,"0,300",1995,26/01/2014
823619402,7,"0,222",2014,16/01/2014
773968103,10,"0,534",2013,15/01/2014
818975902,9,"0,636",2001,06/01/2014
737932005,2,"0,640",1996,17/01/2014
592426103,4,"0,773",2014,06/01/2014
824192002,8,"0,534",2012,31/01/2014
406056504,1,"0,084",2002,10/01/2014
823780902,9,"0,650",2005,16/01/2014
494998003,1,"0,180",2002,22/01/2014
440940303,5,"0,515",1999,05/01/2014
824084202,4,"0,881",1995,17/01/2014
435092603,4,"0,300",2001,05/01/2014
822353702,5,"0,517",1997,10/01/2014
823631602,6,"0,126",2001,10/01/2014
824228502,8,"0,084",1995,01/01/2014
818540802,4,"0,847",2008,30/01/2014
400937903,1,"0,154",2011,02/01/2014
448836003,6,"0,927",2008,18/01/2014
785443202,5,"0,668",2000,20/01/2014
493809503,3,"0,700",2007,31/01/2014
821997202,10,"0,728",2013,12/01/2014
821628402,3,"0,249",2002,31/01/2014
475818703,9,"0,369",2010,12/01/2014
824770802,7,"0,534",1995,10/01/2014
468157103,9,"0,136",1996,11/01/2014
857832902,2,"0,080",2002,24/01/2014
815188202,8,"0,958",2001,25/01/2014
877211001,5,"0,460",2006,16/01/2014
824605302,4,"0,145",2001,26/01/2014
466322704,6,"0,985",1997,19/01/2014
823260802,9,"0,610",1999,22/01/2014
860552702,5,"0,144",2007,20/01/2014
715266905,2,"0,051",2002,05/01/2014
824671502,5,"0,495",1996,26/01/2014
823509202,9,"0,643",2001,09/01/2014
801613203,3,"0,092",2014,14/01/2014
820499302,1,"0,716",2007,11/01/2014
808616602,1,"0,337",2005,04/01/2014
824731602,5,"0,499",2008,04/01/2014
823849002,1,"0,076",2005,26/01/2014
757443003,3,"0,878",2005,24/01/2014
791113604,6,"0,717",2003,17/01/2014
428196803,5,"0,915",1995,01/01/2014
768756003,5,"0,598",2008,16/01/2014
825195302,6,"0,047",1998,14/01/2014
839009402,8,"0,876",1996,29/01/2014
421490703,2,"0,176",1995,28/01/2014
823626602,9,"0,174",2013,22/01/2014
823962402,6,"0,658",1996,18/01/2014
444023703,10,"0,913",2009,13/01/2014
824749802,1,"0,816",2006,18/01/2014
824378602,5,"0,820",2006,17/01/2014
824804702,1,"0,656",2013,03/01/2014
824655702,10,"0,325",2009,31/01/2014
407496103,6,"0,441",2000,09/01/2014
811745303,7,"0,995",2006,15/01/2014
824201802,1,"0,811",1997,25/01/2014
804699903,2,"0,252",2001,10/01/2014
821975203,9,"0,468",1997,19/01/2014
823607702,6,"0,068",1997,19/01/2014
796560202,3,"0,075",2005,04/01/2014
702188205,1,"0,859",2012,10/01/2014
701239704,6,"0,296",2009,17/01/2014
700563106,5,"0,160",2011,03/01/2014
420968403,10,"0,826",2014,18/01/2014
824433002,6,"0,297",2006,28/01/2014
748224703,1,"0,464",2002,17/01/2014
867362102,6,"0,618",2010,28/01/2014
442621503,3,"0,761",1997,17/01/2014
824325602,1,"0,960",2010,19/01/2014
819379502,9,"0,664",2002,30/01/2014
420359703,8,"0,937",1995,06/01/2014
811347403,10,"0,580",2013,02/01/2014
822626703,5,"0,318",2004,27/01/2014
849168302,9,"0,379",2010,21/01/2014
824605202,3,"0,907",2006,06/01/2014
712195303,9,"0,097",2011,04/01/2014
824015004,7,"0,665",2003,20/01/2014
765633603,5,"0,681",2013,28/01/2014
823409002,5,"0,639",2014,12/01/2014
460430203,9,"0,976",2012,05/01/2014
823631402,1,"0,415",2014,04/01/2014
747988002,4,"0,877",2001,10/01/2014
824082602,3,"0,317",2001,13/01/2014
702580103,2,"0,144",2006,03/01/2014
823483502,4,"0,333",2001,11/01/2014
818911602,1,"0,791",1997,24/01/2014
459266403,4,"0,062",2014,11/01/2014
788948103,9,"0,044",2006,25/01/2014
413017803,3,"0,824",2001,02/01/2014
420248803,3,"0,684",2004,15/01/2014
451489104,5,"0,418",2008,14/01/2014
824481102,8,"0,566",1999,03/01/2014
463226204,5,"0,783",2007,24/01/2014
734292103,6,"0,769",2003,13/01/2014
823171002,2,"0,010",2010,28/01/2014
817675402,2,"0,166",2006,31/01/2014
414084702,7,"0,927",2010,31/01/2014
870507702,4,"0,597",2014,03/01/2014
783690802,7,"0,085",2010,01/01/2014
815933002,10,"0,544",2008,14/01/2014
769037203,1,"0,666",2010,31/01/2014
822460802,2,"0,599",2014,06/01/2014
824227802,3,"0,283",2008,21/01/2014
824605102,10,"0,533",2010,09/01/2014
822002202,1,"0,807",1999,04/01/2014
842017802,5,"0,393",2012,08/01/2014
824681702,1,"0,436",2004,29/01/2014
457030804,2,"0,693",1997,08/01/2014
404442303,1,"0,151",2012,11/01/2014
885293801,3,"0,282",2007,23/01/2014
824327202,10,"0,269",2011,30/01/2014
838061702,7,"0,271",1997,20/01/2014
489279903,6,"0,429",1995,18/01/2014
401807504,4,"0,329",1995,24/01/2014
713604903,8,"0,860",1996,20/01/2014
860265002,10,"0,587",2007,08/01/2014
476850103,1,"0,270",2009,22/01/2014
892634101,5,"0,992",2000,27/01/2014
443465203,4,"0,495",2002,27/01/2014
413470603,3,"0,829",2012,05/01/2014
813580401,8,"0,881",2006,05/01/2014
436775504,9,"0,751",2008,31/01/2014
